system,step,second_order,third_order,fourth_order,rho3,rho4,pt2_error_mha,pt3_error_mha,pt4_error_mha,source_top_k,route
fe2s2_cas30e20o,100,0.618614601286315,-5.47392133669149,-81211.884649521,8.84867787683851,14836.1439001983,2548.68553754322,-2925.23579914827,-81214809.8853201,300000,deterministic_source_top_k1_spt4
fe2s2_cas30e20o,8000,-0.0507090149973217,-0.012833924128876,-0.0140444300284575,0.253089596190221,1.09432079287876,276.968494304938,264.134570176068,250.090140147606,300000,deterministic_source_top_k1_spt4
fe2s2_cas30e20o,30000,-0.0241735767756308,-0.00501900475765063,-0.0059604647799655,0.207623588525396,1.1875790256783,245.267213076517,240.24820831886,234.2877435389,300000,deterministic_source_top_k1_spt4
h2o_ccpvdz,100,-0.0334687755069939,0.000579927760314862,-0.00167366887791928,0.0173274268786343,2.88599545055506,0.820078373109823,1.40000613342295,-0.273662744490366,300000,deterministic_source_top_k1_spt4
h2o_ccpvdz,8000,-0.0141047441699904,0.00112641509630781,-0.00146522164998456,0.0798607250675553,1.30078303707692,-0.0179360036867138,1.10847909262191,-0.356742557357848,300000,deterministic_source_top_k1_spt4
h2o_ccpvdz,30000,-0.00825289558179397,0.000699883919325095,-0.000855230436422728,0.0848046497606308,1.22196040344438,-0.0285968112194723,0.671287108104934,-0.183943328323721,300000,deterministic_source_top_k1_spt4
n2_ccpvdz,250,-0.0627025633411932,0.0094608602290227,-0.0175323517972806,0.150884744177712,1.85314563082724,-0.112053679771407,9.34880654925507,-8.18354524803055,300000,deterministic_source_top_k1_spt4
n2_ccpvdz,8000,-0.0463048012017146,0.0125769741139614,-0.0205748272526936,0.27161274398249,1.63591234793542,-2.0900885884032,10.4868855255518,-10.0879417271358,300000,deterministic_source_top_k1_spt4
n2_ccpvdz,30000,-0.028207377919699808,0.0050052322179894625,-0.007168680864967297,0.17744407978076715,1.4322374173174455,-0.755913330735325,4.249318887261211,-2.919361977703261,300000,deterministic_source_top_k1_spt4
