buckets,replicas,seeds,sketch_entries,delta_vs_exact_mha_median,delta_vs_exact_mha_std,empirical_rmse_mha,empirical_rmse_jackknife_se_mha,absolute_delta_mha_median,reported_standard_error_mha_median,max_abs_delta_standard_errors,sketch_total_sec_median,sketch_update_sec_median,sketch_allreduce_sec_median,allreduce_payload_bytes_per_rank,peak_device_allocated_bytes
4096,8,24,32768,-0.011247299007177344,0.10395334590052609,0.10812313461121471,0.015913460615740352,0.06224952724907806,0.10101960530431345,3.187774701184031,0.7257879972457886,0.24659252166748047,0.0752798318862915,1048576,841452544
8192,8,24,65536,-0.035095146845808695,0.07276823923815864,0.07721155996609298,0.009800585714296232,0.062438758458563046,0.08210792982190893,2.8975517184345554,0.7213612794876099,0.23227834701538086,0.08554160594940186,2097152,841489408
16384,8,24,131072,-0.020073159084506645,0.05492763693026931,0.05530575415701161,0.0072522713878049715,0.043648854531549985,0.055256506422497007,3.5182197366613366,0.7110060453414917,0.23091375827789307,0.07535696029663086,4194304,843586560
32768,8,24,262144,-0.019318814607330315,0.04285812695828344,0.04256269953728708,0.0038304568396859183,0.03939287138382715,0.040262863266986526,1.9822937354273824,0.7167798280715942,0.23068082332611084,0.08179318904876709,8388608,848792576
65536,1,24,65536,-0.01043727740557103,0.1176867459020289,0.11539908684978785,0.01908831858817693,0.07882999647345658,0.0,nan,0.5260692834854126,0.03710377216339111,0.0709981918334961,2097152,309985280
65536,2,24,131072,0.0029706593376796486,0.07806512933480772,0.07790424908123462,0.014467912617111013,0.05279951475883893,0.050607555826203895,55.144990843902875,0.5573954582214355,0.06878077983856201,0.06920433044433594,4194304,425563136
65536,4,24,262144,-0.01661634204514796,0.04285228603337763,0.042492198262244596,0.009206856031615446,0.025704017605234636,0.04812423139754278,2.191813348637556,0.5983260869979858,0.12072098255157471,0.0631948709487915,8388608,654769152
65536,8,24,524288,-0.009950992055415137,0.029968657137755376,0.029802663892896243,0.004074283997584985,0.020829756299056354,0.031105131025335762,2.4468108945306106,0.7157721519470215,0.2307661771774292,0.07741189002990723,16777216,857181184
65536,16,24,1048576,0.00017980672115114338,0.021855520899618876,0.02141898186799852,0.0028157957502121453,0.012508724811812616,0.020998060688260642,2.4041312172939646,0.9338750839233398,0.4505937099456787,0.07951009273529053,33554432,873958400
65536,32,24,2097152,-0.0017689843997328175,0.012840368443306199,0.013265276621761435,0.0019792929472343484,0.007288619387651671,0.01568676967848389,2.018034223999664,1.3579024076461792,0.89029860496521,0.07209694385528564,67108864,907512832
65536,64,24,4194304,-0.0012842348525374248,0.009923653215956164,0.009758984002825065,0.0019368412152869822,0.0041728298416383175,0.010931006246976526,2.322160900766401,2.243516683578491,1.7701771259307861,0.09727787971496582,134217728,974621696
131072,8,24,1048576,0.0004057656271053145,0.026607850421974513,0.026127102704054765,0.0032873866506666865,0.020655355109606283,0.02102357821986127,4.625303143554883,0.7119836807250977,0.231023907661438,0.0701146125793457,33554432,873958400
262144,8,24,2097152,-0.00397748834662752,0.015660309027108316,0.01580962991078256,0.0020178695843834113,0.010975732675236327,0.013978049700074453,2.618373925869512,0.731214165687561,0.2312936782836914,0.08324623107910156,67108864,907512832
