system,label,step,seed,support_size,full_residual_error_mha,pt2_error_mha,rpt2_error_mha,dbw_error_mha,dbw_converged,total_sec
h2o_ccpvdz,H$_2$O/cc-pVDZ,12000,334,29129,-0.1232783995135378,-0.1232783995135378,-0.09714149223327695,-0.09721222099301485,True,12.185469150543213
h2o_ccpvdz,H$_2$O/cc-pVDZ,16000,334,30713,0.050245577966734345,0.050245577966734345,0.06799133284118852,0.06795417669991366,True,12.403441190719604
h2o_ccpvdz,H$_2$O/cc-pVDZ,20000,334,30236,-0.02211108639471604,-0.02211108639471604,-0.006909107284513993,-0.006937840979048815,True,12.151822805404663
h2o_ccpvdz,H$_2$O/cc-pVDZ,25000,334,30453,0.17463775073167653,0.17463775073167653,0.18714442778389184,0.1871232637142839,True,12.312981605529785
h2o_ccpvdz,H$_2$O/cc-pVDZ,30000,334,30861,-0.028002638686075443,-0.028002638686075443,-0.017574159016930935,-0.017589762649095064,True,11.988840103149414
hcn_ccpvdz,HCN/cc-pVDZ,100,334,29463,3.9731295513547593,3.9731295513547593,5.783877836904594,5.7351447281348555,True,27.178467273712158
hcn_ccpvdz,HCN/cc-pVDZ,250,334,29595,0.4441387138029995,0.4441387138029995,1.9239477491623802,1.8865613719185603,True,28.85974383354187
hcn_ccpvdz,HCN/cc-pVDZ,500,334,29068,2.0738069461430086,2.0738069461430086,3.251079199245055,3.225984323648845,True,27.48291540145874
hcn_ccpvdz,HCN/cc-pVDZ,1000,334,29510,1.6343333488890721,1.6343333488890721,2.6414671910828247,2.6221935908949945,True,27.958338022232056
hcn_ccpvdz,HCN/cc-pVDZ,2000,334,29690,0.8726704000423524,0.8726704000423524,1.9910019083795305,1.9652309429147863,True,28.736735105514526
hcn_ccpvdz,HCN/cc-pVDZ,3000,334,29546,3.6859821324526365,3.6859821324526365,4.420856050970201,4.4086318408602665,True,28.661606311798096
hcn_ccpvdz,HCN/cc-pVDZ,5000,334,28987,2.236195778280603,2.236195778280603,2.8500554692669766,2.8406173755683994,True,27.071227312088013
hcn_ccpvdz,HCN/cc-pVDZ,8000,334,28708,1.3287312001608598,1.3287312001608598,1.8235518855362898,1.8170801974974893,True,28.37244701385498
hcn_ccpvdz,HCN/cc-pVDZ,12000,334,29235,-0.5819750272593183,-0.5819750272593183,-0.0751073356894949,-0.0822502493065258,True,27.536988973617554
hcn_ccpvdz,HCN/cc-pVDZ,16000,334,29240,-0.44143030375209946,-0.44143030375209946,0.037403779700184714,0.030336759891724796,True,28.402770042419434
hcn_ccpvdz,HCN/cc-pVDZ,20000,334,28809,1.4923727695048683,1.4923727695048683,1.7813496339584844,1.7784809122645129,True,26.86224889755249
hcn_ccpvdz,HCN/cc-pVDZ,25000,334,29056,-0.8250579023041382,-0.8250579023041382,-0.4790166790087369,-0.4832228515283532,True,27.370716333389282
hcn_ccpvdz,HCN/cc-pVDZ,30000,334,29170,0.3057198743050549,0.3057198743050549,0.5060781841308426,0.5045318956860001,True,26.7555992603302
n2_ccpvdz,N$_2$/cc-pVDZ,100,334,29916,-0.14797828021073656,-0.14797828021073656,0.8286187266151046,0.810840308730576,True,16.65162968635559
n2_ccpvdz,N$_2$/cc-pVDZ,250,334,31462,-0.11205367977140668,-0.11205367977140668,0.8259670891135329,0.8091878323739365,True,16.943812131881714
n2_ccpvdz,N$_2$/cc-pVDZ,500,334,28547,-1.3287448802401514,-1.3287448802401514,-0.46326504144644787,-0.47791743106984086,True,15.507886409759521
n2_ccpvdz,N$_2$/cc-pVDZ,1000,334,30507,-2.5229903712755686,-2.5229903712755686,-1.6298923284381317,-1.6457263644724662,True,16.51077961921692
n2_ccpvdz,N$_2$/cc-pVDZ,2000,334,30468,2.564091349071873,2.564091349071873,3.3364702411802227,3.3226924388003454,True,15.86405086517334
n2_ccpvdz,N$_2$/cc-pVDZ,3000,334,29124,1.0957054557110268,1.0957054557110268,1.7151554537377933,1.7060031540694354,True,15.27351450920105
n2_ccpvdz,N$_2$/cc-pVDZ,5000,334,29459,-0.954194515600193,-0.954194515600193,-0.35375568764095533,-0.3624231191849958,True,15.616443634033203
n2_ccpvdz,N$_2$/cc-pVDZ,8000,334,28527,-2.090088588403205,-2.090088588403205,-1.5901810700711394,-1.5966320417817315,True,15.168949127197266
n2_ccpvdz,N$_2$/cc-pVDZ,12000,334,30251,-0.39773771327134,-0.39773771327134,-0.05089661969748249,-0.05452702687591682,True,15.174716472625732
n2_ccpvdz,N$_2$/cc-pVDZ,16000,334,31240,-0.0016249458099082403,-0.0016249458099082403,0.22983185743896684,0.22795880175863203,True,15.0603928565979
n2_ccpvdz,N$_2$/cc-pVDZ,20000,334,29817,0.48848381997856904,0.48848381997856904,0.7454061691447578,0.7431250023302027,True,14.853234052658081
n2_ccpvdz,N$_2$/cc-pVDZ,25000,334,29304,-0.3076487956263918,-0.3076487956263918,-0.1329794231850201,-0.13419500476175017,True,14.509402990341187
n2_ccpvdz,N$_2$/cc-pVDZ,30000,334,29847,-0.7562076562805942,-0.7562076562805942,-0.6035345477215515,-0.6045173874582588,True,14.552566766738892
nh3_ccpvdz,NH$_3$/cc-pVDZ,100,334,28514,0.10997078810959238,0.10997078810959238,0.5440451943883318,0.5386909997966427,True,23.638110637664795
nh3_ccpvdz,NH$_3$/cc-pVDZ,250,334,28848,0.44231058028998405,0.44231058028998405,0.7513963709158133,0.7482590106704379,True,24.225860834121704
nh3_ccpvdz,NH$_3$/cc-pVDZ,500,334,29216,-0.2317913313873987,-0.2317913313873987,0.11490799958124853,0.11108561984229937,True,23.86236834526062
nh3_ccpvdz,NH$_3$/cc-pVDZ,1000,334,29362,0.5924918000417279,0.5924918000417279,0.8187248502906641,0.8167552846387593,True,24.03478455543518
nh3_ccpvdz,NH$_3$/cc-pVDZ,2000,334,29136,0.18362438881780463,0.18362438881780463,0.395758961317938,0.3939448241041532,True,24.432671308517456
nh3_ccpvdz,NH$_3$/cc-pVDZ,3000,334,29128,0.06059946060332777,0.06059946060332777,0.2324978794092658,0.23120322873637633,True,24.758875608444214
nh3_ccpvdz,NH$_3$/cc-pVDZ,5000,334,28743,0.87057657105305,0.87057657105305,1.0055655885139458,1.0046656413393862,True,24.063638925552368
nh3_ccpvdz,NH$_3$/cc-pVDZ,8000,334,29604,0.009376009160178,0.009376009160178,0.1004828448714079,0.09999798117377168,True,24.345720291137695
nh3_ccpvdz,NH$_3$/cc-pVDZ,12000,334,28677,0.6685333036458019,0.6685333036458019,0.7290803703838833,0.728823075533569,True,24.54863739013672
nh3_ccpvdz,NH$_3$/cc-pVDZ,16000,334,29109,-0.22904589044259183,-0.22904589044259183,-0.17258250420582044,-0.17281342046260306,True,25.035786151885986
nh3_ccpvdz,NH$_3$/cc-pVDZ,20000,334,29044,0.3966444772061095,0.3966444772061095,0.439990040497662,0.43984046391187803,True,25.004481077194214
nh3_ccpvdz,NH$_3$/cc-pVDZ,25000,334,29092,0.4112561924500824,0.4112561924500824,0.44664975781216754,0.4465420876655912,True,24.925477266311646
nh3_ccpvdz,NH$_3$/cc-pVDZ,30000,334,29199,-0.11388745102891562,-0.11388745102891562,-0.08106401207186309,-0.08115861746205155,True,24.839330434799194
