system,label,step,restricted_error_mha
n2_ccpvdz,N$_2$/cc-pVDZ,910,57.16819015813712
n2_ccpvdz,N$_2$/cc-pVDZ,920,57.65673490944323
n2_ccpvdz,N$_2$/cc-pVDZ,930,56.62477512906605
n2_ccpvdz,N$_2$/cc-pVDZ,940,57.62525217627967
n2_ccpvdz,N$_2$/cc-pVDZ,950,56.95975782829521
n2_ccpvdz,N$_2$/cc-pVDZ,960,57.35754961006023
n2_ccpvdz,N$_2$/cc-pVDZ,970,56.70324286298012
n2_ccpvdz,N$_2$/cc-pVDZ,980,57.905435888457646
n2_ccpvdz,N$_2$/cc-pVDZ,990,57.64415478941487
n2_ccpvdz,N$_2$/cc-pVDZ,1000,57.91403085866875
n2_ccpvdz,N$_2$/cc-pVDZ,1010,56.412981686037256
n2_ccpvdz,N$_2$/cc-pVDZ,1020,57.6701854041346
n2_ccpvdz,N$_2$/cc-pVDZ,1030,57.25150277552871
n2_ccpvdz,N$_2$/cc-pVDZ,1040,57.50670199780927
n2_ccpvdz,N$_2$/cc-pVDZ,1050,57.67778047305683
n2_ccpvdz,N$_2$/cc-pVDZ,1060,56.39587558972892
n2_ccpvdz,N$_2$/cc-pVDZ,1070,56.5975209610059
n2_ccpvdz,N$_2$/cc-pVDZ,1080,57.335366216648254
n2_ccpvdz,N$_2$/cc-pVDZ,1090,56.87362740138724
n2_ccpvdz,N$_2$/cc-pVDZ,1100,56.052129275244056
n2_ccpvdz,N$_2$/cc-pVDZ,1110,57.95448485164911
n2_ccpvdz,N$_2$/cc-pVDZ,1120,56.79305488456521
n2_ccpvdz,N$_2$/cc-pVDZ,1130,56.60675604947585
n2_ccpvdz,N$_2$/cc-pVDZ,1140,56.16668730850449
n2_ccpvdz,N$_2$/cc-pVDZ,1150,57.37862300586016
n2_ccpvdz,N$_2$/cc-pVDZ,1160,56.63535572445255
n2_ccpvdz,N$_2$/cc-pVDZ,1170,56.62499896668294
n2_ccpvdz,N$_2$/cc-pVDZ,1180,55.833860936374435
n2_ccpvdz,N$_2$/cc-pVDZ,1190,55.870921086295766
n2_ccpvdz,N$_2$/cc-pVDZ,1200,56.49939481358501
n2_ccpvdz,N$_2$/cc-pVDZ,1210,56.48201309851686
n2_ccpvdz,N$_2$/cc-pVDZ,1220,56.91544615207533
n2_ccpvdz,N$_2$/cc-pVDZ,1230,55.713370420491515
n2_ccpvdz,N$_2$/cc-pVDZ,1240,56.958046492823655
n2_ccpvdz,N$_2$/cc-pVDZ,1250,55.47657253498528
n2_ccpvdz,N$_2$/cc-pVDZ,1260,58.00615791868324
n2_ccpvdz,N$_2$/cc-pVDZ,1270,56.333843120029314
n2_ccpvdz,N$_2$/cc-pVDZ,1280,56.105832641051734
n2_ccpvdz,N$_2$/cc-pVDZ,1290,56.29586934651343
n2_ccpvdz,N$_2$/cc-pVDZ,1300,55.55352758298682
n2_ccpvdz,N$_2$/cc-pVDZ,1310,55.837891832041464
n2_ccpvdz,N$_2$/cc-pVDZ,1320,55.32100913032423
n2_ccpvdz,N$_2$/cc-pVDZ,1330,55.33572180021906
n2_ccpvdz,N$_2$/cc-pVDZ,1340,55.791698029153736
n2_ccpvdz,N$_2$/cc-pVDZ,1350,56.156710749860395
n2_ccpvdz,N$_2$/cc-pVDZ,1360,55.508663946426395
n2_ccpvdz,N$_2$/cc-pVDZ,1370,56.49877718111895
n2_ccpvdz,N$_2$/cc-pVDZ,1380,55.666648222938875
n2_ccpvdz,N$_2$/cc-pVDZ,1390,55.74695931893814
n2_ccpvdz,N$_2$/cc-pVDZ,1400,55.24763539956723
n2_ccpvdz,N$_2$/cc-pVDZ,1410,56.28140704936868
n2_ccpvdz,N$_2$/cc-pVDZ,1420,55.482288934499024
n2_ccpvdz,N$_2$/cc-pVDZ,1430,55.84041999253486
n2_ccpvdz,N$_2$/cc-pVDZ,1440,55.63370013317126
n2_ccpvdz,N$_2$/cc-pVDZ,1450,55.206808247589834
n2_ccpvdz,N$_2$/cc-pVDZ,1460,54.74876002045903
n2_ccpvdz,N$_2$/cc-pVDZ,1470,56.223872593577084
n2_ccpvdz,N$_2$/cc-pVDZ,1480,54.92301643612052
n2_ccpvdz,N$_2$/cc-pVDZ,1490,54.59457259651401
n2_ccpvdz,N$_2$/cc-pVDZ,1500,55.275882891578476
n2_ccpvdz,N$_2$/cc-pVDZ,1510,54.601221774774444
n2_ccpvdz,N$_2$/cc-pVDZ,1520,54.6908471413019
n2_ccpvdz,N$_2$/cc-pVDZ,1530,56.09993788426948
n2_ccpvdz,N$_2$/cc-pVDZ,1540,55.03090441357017
n2_ccpvdz,N$_2$/cc-pVDZ,1550,56.58080755183903
n2_ccpvdz,N$_2$/cc-pVDZ,1560,55.562192906435826
n2_ccpvdz,N$_2$/cc-pVDZ,1570,54.420112576721635
n2_ccpvdz,N$_2$/cc-pVDZ,1580,57.40572683505718
n2_ccpvdz,N$_2$/cc-pVDZ,1590,55.9750166629982
n2_ccpvdz,N$_2$/cc-pVDZ,1600,54.874396426640715
n2_ccpvdz,N$_2$/cc-pVDZ,1610,54.59438187052967
n2_ccpvdz,N$_2$/cc-pVDZ,1620,54.75651003486348
n2_ccpvdz,N$_2$/cc-pVDZ,1630,54.05317329729087
n2_ccpvdz,N$_2$/cc-pVDZ,1640,54.18672593714291
n2_ccpvdz,N$_2$/cc-pVDZ,1650,54.68545217694043
n2_ccpvdz,N$_2$/cc-pVDZ,1660,54.032902102491676
n2_ccpvdz,N$_2$/cc-pVDZ,1670,57.52914716542534
n2_ccpvdz,N$_2$/cc-pVDZ,1680,55.77992499637219
n2_ccpvdz,N$_2$/cc-pVDZ,1690,54.268066600656084
n2_ccpvdz,N$_2$/cc-pVDZ,1700,55.336507891311726
n2_ccpvdz,N$_2$/cc-pVDZ,1710,54.6315068837373
n2_ccpvdz,N$_2$/cc-pVDZ,1720,54.49287487149945
n2_ccpvdz,N$_2$/cc-pVDZ,1730,53.997544258166386
n2_ccpvdz,N$_2$/cc-pVDZ,1740,55.252371638474074
n2_ccpvdz,N$_2$/cc-pVDZ,1750,55.04808651724602
n2_ccpvdz,N$_2$/cc-pVDZ,1760,54.21939903068562
n2_ccpvdz,N$_2$/cc-pVDZ,1770,54.083087447352796
n2_ccpvdz,N$_2$/cc-pVDZ,1780,56.75737404574477
n2_ccpvdz,N$_2$/cc-pVDZ,1790,54.290836977614276
n2_ccpvdz,N$_2$/cc-pVDZ,1800,53.8578094010802
n2_ccpvdz,N$_2$/cc-pVDZ,1810,54.14340562484199
n2_ccpvdz,N$_2$/cc-pVDZ,1820,55.31090790057647
n2_ccpvdz,N$_2$/cc-pVDZ,1830,53.67929038945363
n2_ccpvdz,N$_2$/cc-pVDZ,1840,55.11234746164462
n2_ccpvdz,N$_2$/cc-pVDZ,1850,53.80517790213446
n2_ccpvdz,N$_2$/cc-pVDZ,1860,53.68824468547473
n2_ccpvdz,N$_2$/cc-pVDZ,1870,55.933913092445664
n2_ccpvdz,N$_2$/cc-pVDZ,1880,54.367662224194646
n2_ccpvdz,N$_2$/cc-pVDZ,1890,53.37389471480947
n2_ccpvdz,N$_2$/cc-pVDZ,1900,53.65285691982535
n2_ccpvdz,N$_2$/cc-pVDZ,1910,54.78722666148883
n2_ccpvdz,N$_2$/cc-pVDZ,1920,53.443962627753194
n2_ccpvdz,N$_2$/cc-pVDZ,1930,54.172446260636775
n2_ccpvdz,N$_2$/cc-pVDZ,1940,54.91886526479561
n2_ccpvdz,N$_2$/cc-pVDZ,1950,54.47827447601128
n2_ccpvdz,N$_2$/cc-pVDZ,1960,53.517032109368756
n2_ccpvdz,N$_2$/cc-pVDZ,1970,55.22232802513827
n2_ccpvdz,N$_2$/cc-pVDZ,1980,54.19538756251541
n2_ccpvdz,N$_2$/cc-pVDZ,1990,53.344883901900175
n2_ccpvdz,N$_2$/cc-pVDZ,2000,57.43348246501512
n2_ccpvdz,N$_2$/cc-pVDZ,2010,55.06666257012682
n2_ccpvdz,N$_2$/cc-pVDZ,2020,53.15744997396621
n2_ccpvdz,N$_2$/cc-pVDZ,2030,53.50207256773842
n2_ccpvdz,N$_2$/cc-pVDZ,2040,53.61201515221126
n2_ccpvdz,N$_2$/cc-pVDZ,2050,58.246155973535
n2_ccpvdz,N$_2$/cc-pVDZ,2060,57.19058255101572
n2_ccpvdz,N$_2$/cc-pVDZ,2070,54.79101032324252
n2_ccpvdz,N$_2$/cc-pVDZ,2080,53.016253333225904
n2_ccpvdz,N$_2$/cc-pVDZ,2090,52.91951103241388
n2_ccpvdz,N$_2$/cc-pVDZ,2100,52.705160451012034
n2_ccpvdz,N$_2$/cc-pVDZ,2110,52.662437399490614
n2_ccpvdz,N$_2$/cc-pVDZ,2120,53.13403242655568
n2_ccpvdz,N$_2$/cc-pVDZ,2130,53.921672061306936
n2_ccpvdz,N$_2$/cc-pVDZ,2140,56.42300065865413
n2_ccpvdz,N$_2$/cc-pVDZ,2150,53.31688829714665
n2_ccpvdz,N$_2$/cc-pVDZ,2160,52.917784386025346
n2_ccpvdz,N$_2$/cc-pVDZ,2170,53.03317223277304
n2_ccpvdz,N$_2$/cc-pVDZ,2180,52.715525751906966
n2_ccpvdz,N$_2$/cc-pVDZ,2190,53.02572710603215
n2_ccpvdz,N$_2$/cc-pVDZ,2200,53.53331635681968
n2_ccpvdz,N$_2$/cc-pVDZ,2210,53.17119687192928
n2_ccpvdz,N$_2$/cc-pVDZ,2220,52.841937377493764
n2_ccpvdz,N$_2$/cc-pVDZ,2230,52.492040465295986
n2_ccpvdz,N$_2$/cc-pVDZ,2240,53.65395077529911
n2_ccpvdz,N$_2$/cc-pVDZ,2250,54.4883302856789
n2_ccpvdz,N$_2$/cc-pVDZ,2260,53.63374278825006
n2_ccpvdz,N$_2$/cc-pVDZ,2270,52.96097898207108
n2_ccpvdz,N$_2$/cc-pVDZ,2280,52.62351711583335
n2_ccpvdz,N$_2$/cc-pVDZ,2290,55.658122004729194
n2_ccpvdz,N$_2$/cc-pVDZ,2300,54.52743465960452
n2_ccpvdz,N$_2$/cc-pVDZ,2310,53.36676852527944
n2_ccpvdz,N$_2$/cc-pVDZ,2320,53.02832298595206
n2_ccpvdz,N$_2$/cc-pVDZ,2330,52.30269235768503
n2_ccpvdz,N$_2$/cc-pVDZ,2340,52.798642163125464
n2_ccpvdz,N$_2$/cc-pVDZ,2350,53.568753625953036
n2_ccpvdz,N$_2$/cc-pVDZ,2360,52.38603534979802
n2_ccpvdz,N$_2$/cc-pVDZ,2370,52.43178816563443
n2_ccpvdz,N$_2$/cc-pVDZ,2380,53.926808243048185
n2_ccpvdz,N$_2$/cc-pVDZ,2390,52.513245251702756
n2_ccpvdz,N$_2$/cc-pVDZ,2400,52.0059530044108
n2_ccpvdz,N$_2$/cc-pVDZ,2410,52.5812388106317
n2_ccpvdz,N$_2$/cc-pVDZ,2420,53.532714743610654
n2_ccpvdz,N$_2$/cc-pVDZ,2430,52.880195260385676
n2_ccpvdz,N$_2$/cc-pVDZ,2440,53.186571260567916
n2_ccpvdz,N$_2$/cc-pVDZ,2450,52.763069821864406
n2_ccpvdz,N$_2$/cc-pVDZ,2460,52.89838601107988
n2_ccpvdz,N$_2$/cc-pVDZ,2470,52.28909638572077
n2_ccpvdz,N$_2$/cc-pVDZ,2480,52.81017681852518
n2_ccpvdz,N$_2$/cc-pVDZ,2490,52.810470197002246
n2_ccpvdz,N$_2$/cc-pVDZ,2500,52.476292082332066
n2_ccpvdz,N$_2$/cc-pVDZ,2510,52.27924613561186
n2_ccpvdz,N$_2$/cc-pVDZ,2520,55.228002402927245
n2_ccpvdz,N$_2$/cc-pVDZ,2530,53.45420561445735
n2_ccpvdz,N$_2$/cc-pVDZ,2540,52.71413804021563
n2_ccpvdz,N$_2$/cc-pVDZ,2550,51.80401022353465
n2_ccpvdz,N$_2$/cc-pVDZ,2560,51.964131082385734
n2_ccpvdz,N$_2$/cc-pVDZ,2570,52.38704513232051
n2_ccpvdz,N$_2$/cc-pVDZ,2580,52.20696909735523
n2_ccpvdz,N$_2$/cc-pVDZ,2590,52.174711480802216
n2_ccpvdz,N$_2$/cc-pVDZ,2600,52.16811037510638
n2_ccpvdz,N$_2$/cc-pVDZ,2610,51.84108511434715
n2_ccpvdz,N$_2$/cc-pVDZ,2620,52.227757897171045
n2_ccpvdz,N$_2$/cc-pVDZ,2630,51.69596891116157
n2_ccpvdz,N$_2$/cc-pVDZ,2640,53.121252457088985
n2_ccpvdz,N$_2$/cc-pVDZ,2650,52.262629999248134
n2_ccpvdz,N$_2$/cc-pVDZ,2660,52.15752243515226
n2_ccpvdz,N$_2$/cc-pVDZ,2670,53.04222606932285
n2_ccpvdz,N$_2$/cc-pVDZ,2680,52.029953462422895
n2_ccpvdz,N$_2$/cc-pVDZ,2690,51.58851689576238
n2_ccpvdz,N$_2$/cc-pVDZ,2700,51.863431882551936
n2_ccpvdz,N$_2$/cc-pVDZ,2710,53.61125715224091
n2_ccpvdz,N$_2$/cc-pVDZ,2720,52.81510954307578
n2_ccpvdz,N$_2$/cc-pVDZ,2730,52.00051436483477
n2_ccpvdz,N$_2$/cc-pVDZ,2740,52.422982282053
n2_ccpvdz,N$_2$/cc-pVDZ,2750,51.37852279095512
n2_ccpvdz,N$_2$/cc-pVDZ,2760,51.27967393467259
n2_ccpvdz,N$_2$/cc-pVDZ,2770,54.677511774002596
n2_ccpvdz,N$_2$/cc-pVDZ,2780,52.36459028310492
n2_ccpvdz,N$_2$/cc-pVDZ,2790,51.32974459954198
n2_ccpvdz,N$_2$/cc-pVDZ,2800,51.418595044594895
n2_ccpvdz,N$_2$/cc-pVDZ,2810,52.29612019064689
n2_ccpvdz,N$_2$/cc-pVDZ,2820,52.77023238311074
n2_ccpvdz,N$_2$/cc-pVDZ,2830,51.854066802377474
n2_ccpvdz,N$_2$/cc-pVDZ,2840,51.220938684409134
n2_ccpvdz,N$_2$/cc-pVDZ,2850,51.00984480233706
n2_ccpvdz,N$_2$/cc-pVDZ,2860,54.744078761757464
n2_ccpvdz,N$_2$/cc-pVDZ,2870,51.94082053456839
n2_ccpvdz,N$_2$/cc-pVDZ,2880,52.02627191287945
n2_ccpvdz,N$_2$/cc-pVDZ,2890,51.916953022953294
n2_ccpvdz,N$_2$/cc-pVDZ,2900,51.292211829050416
n2_ccpvdz,N$_2$/cc-pVDZ,2910,50.99098872760521
